namen,gerundet,cat_f,cat_d
Scuol,-3463,Perte de,Verlust von
Glarus Süd,-2834,Perte de,Verlust von
Zernez,-374,Perte de,Verlust von
Surses,3824,Economie de,Gewinn von
Val de Bagnes,134,Economie de,Gewinn von
Lac Léman (VD),NA,NA,NA
Davos,665,Economie de,Gewinn von
Bregaglia,NA,NA,NA
Anniviers,-35,Perte de,Verlust von
Zermatt,-4234,Perte de,Verlust von
Innertkirchen,13737,Economie de,Gewinn von
Klosters,426,Economie de,Gewinn von
Verzasca,2,Economie de,Gewinn von
Evolène,158,Economie de,Gewinn von
Blenio,2284,Economie de,Gewinn von
Guttannen,1442,Economie de,Gewinn von
Val Müstair,-658,Perte de,Verlust von
Poschiavo,NA,NA,NA
Bergün Filisur,-128,Perte de,Verlust von
Lavizzara,217,Economie de,Gewinn von
Vals,NA,NA,NA
Fieschertal,-4975,Perte de,Verlust von
Muotathal,-2512,Perte de,Verlust von
Grindelwald,4246,Economie de,Gewinn von
Lumnezia,3986,Economie de,Gewinn von
Orsières,3159,Economie de,Gewinn von
Mesocco,NA,NA,NA
Lauterbrunnen,-787,Perte de,Verlust von
Bellinzona,86,Economie de,Gewinn von
Obergoms,-2222,Perte de,Verlust von
Arosa,NA,NA,NA
Glarus Nord,-284,Perte de,Verlust von
Safiental,-215,Perte de,Verlust von
Cevio,22,Economie de,Gewinn von
Valsot,-3939,Perte de,Verlust von
Naters,-669,Perte de,Verlust von
Silenen,53,Economie de,Gewinn von
Mels,-2833,Perte de,Verlust von
S-chanf,NA,NA,NA
Rheinwald,NA,NA,NA
Medel (Lucmagn),-3444,Perte de,Verlust von
Kandersteg,-352,Perte de,Verlust von
Tujetsch,-2214,Perte de,Verlust von
Ilanz/Glion,354,Economie de,Gewinn von
Faido,2888,Economie de,Gewinn von
Diemtigen,13574,Economie de,Gewinn von
Goms,-187,Perte de,Verlust von
Pfäfers,-186,Perte de,Verlust von
Reichenbach im Kandertal,15,Economie de,Gewinn von
Val-de-Travers,-1522,Perte de,Verlust von
Val-de-Ruz,-1657,Perte de,Verlust von
Lenk,1477,Economie de,Gewinn von
Saanen,14319,Economie de,Gewinn von
Pontresina,56,Economie de,Gewinn von
Château-d'Oex,1167,Economie de,Gewinn von
Bodensee (TG),NA,NA,NA
Val-de-Charmey,-4732,Perte de,Verlust von
Maggia,1874,Economie de,Gewinn von
Saas-Almagell,NA,NA,NA
Einsiedeln,NA,NA,NA
Flühli,119,Economie de,Gewinn von
Hérémence,-534,Perte de,Verlust von
Escholzmatt-Marbach,11715,Economie de,Gewinn von
Onsernone,4759,Economie de,Gewinn von
Göschenen,NA,NA,NA
Glarus,-2521,Perte de,Verlust von
Sumvitg,3649,Economie de,Gewinn von
Le Chenit,357,Economie de,Gewinn von
Wassen,5488,Economie de,Gewinn von
Serravalle,275,Economie de,Gewinn von
Breil/Brigels,3343,Economie de,Gewinn von
Bex,2747,Economie de,Gewinn von
Airolo,-2894,Perte de,Verlust von
Albula/Alvra,NA,NA,NA
Avers,NA,NA,NA
Nesslau,-1255,Perte de,Verlust von
Wolfenschiessen,1846,Economie de,Gewinn von
Kerns,-4232,Perte de,Verlust von
Zürich,-136,Perte de,Verlust von
Simplon,NA,NA,NA
Disentis/Mustér,35,Economie de,Gewinn von
Blatten,NA,NA,NA
Bourg-Saint-Pierre,NA,NA,NA
St. Niklaus,2863,Economie de,Gewinn von
Lugano,115,Economie de,Gewinn von
Adelboden,-2948,Perte de,Verlust von
Wildhaus-Alt St. Johann,-2775,Perte de,Verlust von
Riviera,233,Economie de,Gewinn von
Zwischbergen,NA,NA,NA
Nendaz,1255,Economie de,Gewinn von
Giswil,-4229,Perte de,Verlust von
Conthey,-1267,Perte de,Verlust von
Lac de Neuchâtel (NE),NA,NA,NA
Luzein,3369,Economie de,Gewinn von
Gurtnellen,5415,Economie de,Gewinn von
Unterschächen,4976,Economie de,Gewinn von
Realp,NA,NA,NA
Boltigen,13422,Economie de,Gewinn von
Sarnen,-3465,Perte de,Verlust von
Quinto,2221,Economie de,Gewinn von
Bedretto,NA,NA,NA
Flums,-1154,Perte de,Verlust von
Ferrera,NA,NA,NA
Engelberg,-4167,Perte de,Verlust von
Quarten,-1655,Perte de,Verlust von
Zweisimmen,16186,Economie de,Gewinn von
Frutigen,145,Economie de,Gewinn von
Haute-Sorne,11689,Economie de,Gewinn von
Savièse,-148,Perte de,Verlust von
Obersaxen Mundaun,3684,Economie de,Gewinn von
Winterthur,-2343,Perte de,Verlust von
Leukerbad,-389,Perte de,Verlust von
Plaffeien,-387,Perte de,Verlust von
Gambarogno,1466,Economie de,Gewinn von
Binn,-4638,Perte de,Verlust von
Ormont-Dessous,1965,Economie de,Gewinn von
Sils im Engadin/Segl,4943,Economie de,Gewinn von
Samedan,-1488,Perte de,Verlust von
La Punt Chamues-ch,579,Economie de,Gewinn von
Gsteig,NA,NA,NA
Andermatt,NA,NA,NA
Trub,1149,Economie de,Gewinn von
Acquarossa,4757,Economie de,Gewinn von
Clos du Doubs,1155,Economie de,Gewinn von
Isenthal,474,Economie de,Gewinn von
Schiers,394,Economie de,Gewinn von
Ormont-Dessus,2165,Economie de,Gewinn von
St. Stephan,15134,Economie de,Gewinn von
Eggiwil,12544,Economie de,Gewinn von
Haut-Intyamon,-366,Perte de,Verlust von
Crans-Montana,-1146,Perte de,Verlust von
Ollon,2214,Economie de,Gewinn von
Sumiswald,-3895,Perte de,Verlust von
Erstfeld,256,Economie de,Gewinn von
Biasca,23,Economie de,Gewinn von
Rossa,NA,NA,NA
Täsch,-1283,Perte de,Verlust von
Grengiols,-319,Perte de,Verlust von
Lauenen,14782,Economie de,Gewinn von
Liddes,862,Economie de,Gewinn von
Schwende,-427,Perte de,Verlust von
Sachseln,-4227,Perte de,Verlust von
Rüschegg,12568,Economie de,Gewinn von
Zuoz,543,Economie de,Gewinn von
Alpnach,-4637,Perte de,Verlust von
Samnaun,NA,NA,NA
Entlebuch,1962,Economie de,Gewinn von
Zürichsee (ZH),NA,NA,NA
La Chaux-de-Fonds,-329,Perte de,Verlust von
Sigriswil,1379,Economie de,Gewinn von
Ayent,936,Economie de,Gewinn von
Jaun,-3647,Perte de,Verlust von
Leuk,-4176,Perte de,Verlust von
Guggisberg,12369,Economie de,Gewinn von
Eschenbach (SG),-1458,Perte de,Verlust von
Grabs,235,Economie de,Gewinn von
Randa,NA,NA,NA
Chur,-1788,Perte de,Verlust von
Estavayer,-477,Perte de,Verlust von
Muntogna da Schons,NA,NA,NA
Salvan,397,Economie de,Gewinn von
Centovalli,1793,Economie de,Gewinn von
Schwyz,-1914,Perte de,Verlust von
Bürglen (UR),4757,Economie de,Gewinn von
Trun,353,Economie de,Gewinn von
Arzier-Le Muids,8,Economie de,Gewinn von
Visperterminen,NA,NA,NA
Bern,-2545,Perte de,Verlust von
Wattwil,-1578,Perte de,Verlust von
Köniz,11843,Economie de,Gewinn von
Habkern,129,Economie de,Gewinn von
Lostallo,NA,NA,NA
Mosnang,-184,Perte de,Verlust von
Flims,NA,NA,NA
Oberems,-4334,Perte de,Verlust von
Innerthal,-3443,Perte de,Verlust von
Seewis im Prättigau,3397,Economie de,Gewinn von
Neckertal,-13,Perte de,Verlust von
Walenstadt,-147,Perte de,Verlust von
Rougemont,967,Economie de,Gewinn von
Churwalden,-2539,Perte de,Verlust von
Arth,-349,Perte de,Verlust von
Langnau im Emmental,11356,Economie de,Gewinn von
Urnäsch,-1656,Perte de,Verlust von
Evionnaz,46,Economie de,Gewinn von
Brienz (BE),-198,Perte de,Verlust von
Châtel-Saint-Denis,-3867,Perte de,Verlust von
Thunersee,NA,NA,NA
Amden,-2748,Perte de,Verlust von
Ried-Brig,-445,Perte de,Verlust von
Willisau,1426,Economie de,Gewinn von
Trin,NA,NA,NA
Attinghausen,4992,Economie de,Gewinn von
Val Terbi,1176,Economie de,Gewinn von
Bodensee (SG),NA,NA,NA
Lungern,-417,Perte de,Verlust von
Unteriberg,-1945,Perte de,Verlust von
Soazza,NA,NA,NA
Andeer,NA,NA,NA
Brusio,NA,NA,NA
Oberwil im Simmental,NA,NA,NA
Domleschg,3855,Economie de,Gewinn von
Ruswil,1627,Economie de,Gewinn von
Schwarzenburg,11899,Economie de,Gewinn von
Silvaplana,559,Economie de,Gewinn von
Ebnat-Kappel,-1647,Perte de,Verlust von
Mont-Noble,-412,Perte de,Verlust von
Campo (Vallemaggia),2146,Economie de,Gewinn von
Grüsch,3339,Economie de,Gewinn von
Trimmis,-83,Perte de,Verlust von
Kirchberg (SG),-67,Perte de,Verlust von
Vaz/Obervaz,139,Economie de,Gewinn von
Beromünster,156,Economie de,Gewinn von
La Grande Béroche,-1552,Perte de,Verlust von
Spiringen,4885,Economie de,Gewinn von
Schaffhausen,-426,Perte de,Verlust von
Trient,596,Economie de,Gewinn von
Eisten,NA,NA,NA
Fully,154,Economie de,Gewinn von
Luthern,NA,NA,NA
Calanca,NA,NA,NA
Brig-Glis,-52,Perte de,Verlust von
Martigny-Combe,2381,Economie de,Gewinn von
La Brévine,-1487,Perte de,Verlust von
Wartau,1224,Economie de,Gewinn von
Hasliberg,12497,Economie de,Gewinn von
Sennwald,269,Economie de,Gewinn von
Tafers,-4315,Perte de,Verlust von
Haute-Ajoie,11469,Economie de,Gewinn von
Rüte,-448,Perte de,Verlust von
Tamins,-152,Perte de,Verlust von
Meiringen,1736,Economie de,Gewinn von
Lac de Neuchâtel (VD),NA,NA,NA
Hasle (LU),1876,Economie de,Gewinn von
Saas-Fee,5765,Economie de,Gewinn von
Schänis,316,Economie de,Gewinn von
Sainte-Croix,-58,Perte de,Verlust von
St. Gallen,4128,Economie de,Gewinn von
Schwarzenberg,-683,Perte de,Verlust von
Val-d'Illiez,1447,Economie de,Gewinn von
Bielersee (BE),NA,NA,NA
Personico,4194,Economie de,Gewinn von
Champéry,1533,Economie de,Gewinn von
Roveredo (GR),-831,Perte de,Verlust von
Schüpfheim,1187,Economie de,Gewinn von
Romoos,1588,Economie de,Gewinn von
Lausanne,495,Economie de,Gewinn von
Saint-Martin (VS),-192,Perte de,Verlust von
Troistorrents,848,Economie de,Gewinn von
Röthenbach im Emmental,1252,Economie de,Gewinn von
Erlenbach im Simmental,1346,Economie de,Gewinn von
Schangnau,1181,Economie de,Gewinn von
Capriasca,-1913,Perte de,Verlust von
Wohlen bei Bern,11114,Economie de,Gewinn von
Gibloux,-4268,Perte de,Verlust von
Oberägeri,5711,Economie de,Gewinn von
Küssnacht (SZ),2284,Economie de,Gewinn von
Monteceneri,1246,Economie de,Gewinn von
Wädenswil,-4953,Perte de,Verlust von
Mümliswil-Ramiswil,-4938,Perte de,Verlust von
Ernen,-478,Perte de,Verlust von
Hospental,NA,NA,NA
Sion,-95,Perte de,Verlust von
Le Locle,12,Economie de,Gewinn von
Sufers,NA,NA,NA
Oberriet (SG),-442,Perte de,Verlust von
Riggisberg,1352,Economie de,Gewinn von
Turtmann-Unterems,-432,Perte de,Verlust von
Gommiswald,-376,Perte de,Verlust von
Vouvry,925,Economie de,Gewinn von
Montanaire,412,Economie de,Gewinn von
Montreux,419,Economie de,Gewinn von
Bas-Intyamon,-3747,Perte de,Verlust von
Furna,3871,Economie de,Gewinn von
Oberiberg,2659,Economie de,Gewinn von
Beckenried,NA,NA,NA
Illnau-Effretikon,NA,NA,NA
Därstetten,12855,Economie de,Gewinn von
Zug,4562,Economie de,Gewinn von
Vilters-Wangs,-274,Perte de,Verlust von
Martigny,2628,Economie de,Gewinn von
Le Lieu,3653,Economie de,Gewinn von
Chamoson,699,Economie de,Gewinn von
Maienfeld,1524,Economie de,Gewinn von
Kandergrund,14255,Economie de,Gewinn von
Mendrisio,-362,Perte de,Verlust von
Villeneuve (VD),1567,Economie de,Gewinn von
Rüeggisberg,12757,Economie de,Gewinn von
Fraubrunnen,-546,Perte de,Verlust von
L'Abbaye,383,Economie de,Gewinn von
Provence,-182,Perte de,Verlust von
Saignelégier,5885,Economie de,Gewinn von
Laax,3134,Economie de,Gewinn von
Schattenhalb,1849,Economie de,Gewinn von
Rapperswil-Jona,-428,Perte de,Verlust von
Waldkirch,-2248,Perte de,Verlust von
Hergiswil bei Willisau,NA,NA,NA
Hitzkirch,1372,Economie de,Gewinn von
Cazis,3915,Economie de,Gewinn von
Altstätten,NA,NA,NA
Luzern,3554,Economie de,Gewinn von
La Baroche,11459,Economie de,Gewinn von
Aeschi bei Spiez,1375,Economie de,Gewinn von
Horgen,-2566,Perte de,Verlust von
Düdingen,-4495,Perte de,Verlust von
Fischingen,NA,NA,NA
Raron,1448,Economie de,Gewinn von
Menznau,166,Economie de,Gewinn von
Sevelen,-2749,Perte de,Verlust von
Fischenthal,NA,NA,NA
Saas-Balen,NA,NA,NA
Neuchâtel,478,Economie de,Gewinn von
Collombey-Muraz,11,Economie de,Gewinn von
Brienzersee,NA,NA,NA
Ergisch,-444,Perte de,Verlust von
Bauma,NA,NA,NA
Semsales,-3978,Perte de,Verlust von
Beatenberg,1329,Economie de,Gewinn von
Baltschieder,722,Economie de,Gewinn von
Schübelbach,NA,NA,NA
Grono,-1195,Perte de,Verlust von
Bettmeralp,-533,Perte de,Verlust von
St. Moritz,358,Economie de,Gewinn von
Emmetten,17996,Economie de,Gewinn von
Malters,NA,NA,NA
Uster,-2186,Perte de,Verlust von
Gruyères,-3863,Perte de,Verlust von
Wynigen,1867,Economie de,Gewinn von
Vorderthal,-3399,Perte de,Verlust von
Ferden,-2219,Perte de,Verlust von
Tschiertschen-Praden,NA,NA,NA
Nods,1719,Economie de,Gewinn von
Neuenkirch,1926,Economie de,Gewinn von
Mühleberg,11262,Economie de,Gewinn von
Grenchen,-4446,Perte de,Verlust von
Montricher,1452,Economie de,Gewinn von
Jenaz,3934,Economie de,Gewinn von
Rochefort,-1614,Perte de,Verlust von
Belmont-Broye,-4699,Perte de,Verlust von
Baar,183,Economie de,Gewinn von
Les Verrières,-1383,Perte de,Verlust von
Untervaz,-781,Perte de,Verlust von
Menzingen,19,Economie de,Gewinn von
Gossau (SG),-15,Perte de,Verlust von
Frauenfeld,563,Economie de,Gewinn von
Kriens,2252,Economie de,Gewinn von
Reiden,9873,Economie de,Gewinn von
Leytron,67,Economie de,Gewinn von
Unterägeri,4877,Economie de,Gewinn von
Avegno Gordevio,1712,Economie de,Gewinn von
La Sagne,-1532,Perte de,Verlust von
Plateau de Diesse,1647,Economie de,Gewinn von
Breggia,873,Economie de,Gewinn von
Bad Ragaz,-2223,Perte de,Verlust von
Fideris,419,Economie de,Gewinn von
Weggis,972,Economie de,Gewinn von
Wald (ZH),151,Economie de,Gewinn von
Turbenthal,-4786,Perte de,Verlust von
Herisau,357,Economie de,Gewinn von
Bière,1637,Economie de,Gewinn von
Kemmental,72,Economie de,Gewinn von
Valbroye,423,Economie de,Gewinn von
Tramelan,-285,Perte de,Verlust von
Icogne,-1194,Perte de,Verlust von
Vechigen,11467,Economie de,Gewinn von
Saas-Grund,2754,Economie de,Gewinn von
Gonten,-4587,Perte de,Verlust von
Les Bois,182,Economie de,Gewinn von
Tschappina,4794,Economie de,Gewinn von
Oron,82,Economie de,Gewinn von
Altendorf,-5134,Perte de,Verlust von
Zillis-Reischen,NA,NA,NA
Welschenrohr-Gänsbrunnen,9984,Economie de,Gewinn von
Elgg,NA,NA,NA
Mont-Vully,-497,Perte de,Verlust von
Saint-Gingolph,79,Economie de,Gewinn von
Court,1131,Economie de,Gewinn von
Chalais,-588,Perte de,Verlust von
Grandvillard,-3647,Perte de,Verlust von
Saint-Cergue,2,Economie de,Gewinn von
Vuisternens-devant-Romont,-427,Perte de,Verlust von
Stammheim,NA,NA,NA
Petit-Val,139,Economie de,Gewinn von
Riddes,125,Economie de,Gewinn von
Ins,-389,Perte de,Verlust von
Domat/Ems,46,Economie de,Gewinn von
Payerne,-346,Perte de,Verlust von
Homburg,-4464,Perte de,Verlust von
La Roche,-466,Perte de,Verlust von
Hundwil,623,Economie de,Gewinn von
Celerina/Schlarigna,3828,Economie de,Gewinn von
Dagmersellen,1454,Economie de,Gewinn von
Bulle,-594,Perte de,Verlust von
Basel,44,Economie de,Gewinn von
Péry-La Heutte,1373,Economie de,Gewinn von
Sonvilier,-1789,Perte de,Verlust von
Bever,554,Economie de,Gewinn von
Buchegg,-123,Perte de,Verlust von
Gersau,2576,Economie de,Gewinn von
Hohenrain,182,Economie de,Gewinn von
Brissago,3468,Economie de,Gewinn von
Morschach,337,Economie de,Gewinn von
Rapperswil (BE),27,Economie de,Gewinn von
Rossinière,975,Economie de,Gewinn von
Belp,-259,Perte de,Verlust von
Heimiswil,1855,Economie de,Gewinn von
Signau,1193,Economie de,Gewinn von
Saxon,866,Economie de,Gewinn von
Vallorbe,-113,Perte de,Verlust von
Madiswil,554,Economie de,Gewinn von
Gampel-Bratsch,-4266,Perte de,Verlust von
Triengen,135,Economie de,Gewinn von
Unterbäch,-4875,Perte de,Verlust von
Alto Malcantone,1764,Economie de,Gewinn von
Corbeyrier,1672,Economie de,Gewinn von
Bosco/Gurin,2274,Economie de,Gewinn von
Murten,-155,Perte de,Verlust von
Basse-Allaine,1137,Economie de,Gewinn von
Risch,1772,Economie de,Gewinn von
Alpthal,2115,Economie de,Gewinn von
Puidoux,873,Economie de,Gewinn von
Finhaut,314,Economie de,Gewinn von
Rothenthurm,2126,Economie de,Gewinn von
Beinwil (SO),476,Economie de,Gewinn von
Baulmes,119,Economie de,Gewinn von
Falera,326,Economie de,Gewinn von
Wimmis,1348,Economie de,Gewinn von
Cheyres-Châbles,-482,Perte de,Verlust von
Hinwil,NA,NA,NA
Gams,-2673,Perte de,Verlust von
Delémont,-1522,Perte de,Verlust von
Courtepin,-4623,Perte de,Verlust von
Iseltwald,1335,Economie de,Gewinn von
Hasle bei Burgdorf,11289,Economie de,Gewinn von
Courtelary,-1756,Perte de,Verlust von
Bäretswil,NA,NA,NA
Bütschwil-Ganterschwil,-238,Perte de,Verlust von
Neuenegg,11515,Economie de,Gewinn von
Lantsch/Lenz,355,Economie de,Gewinn von
Eriz,12656,Economie de,Gewinn von
Schleitheim,-243,Perte de,Verlust von
Mettauertal,NA,NA,NA
Biel/Bienne,7695,Economie de,Gewinn von
Lauperswil,11579,Economie de,Gewinn von
Lützelflüh,11261,Economie de,Gewinn von
Langenthal,NA,NA,NA
Wilchingen,-2443,Perte de,Verlust von
Worb,12323,Economie de,Gewinn von
Vionnaz,799,Economie de,Gewinn von
Vully-les-Lacs,-17,Perte de,Verlust von
Sisikon,463,Economie de,Gewinn von
Schüpfen,1828,Economie de,Gewinn von
Wiesendangen,NA,NA,NA
Arbaz,-224,Perte de,Verlust von
Sierre,1428,Economie de,Gewinn von
Cham,4962,Economie de,Gewinn von
Riederalp,-466,Perte de,Verlust von
Amriswil,5762,Economie de,Gewinn von
Satigny,3774,Economie de,Gewinn von
Seelisberg,4442,Economie de,Gewinn von
Bussnang,-373,Perte de,Verlust von
Gimel,36,Economie de,Gewinn von
Sâles,-415,Perte de,Verlust von
Möhlin,-33,Perte de,Verlust von
Murgenthal,-3268,Perte de,Verlust von
Liestal,-95,Perte de,Verlust von
Les Ponts-de-Martel,-1513,Perte de,Verlust von
Plasselb,-45,Perte de,Verlust von
Orvin,1214,Economie de,Gewinn von
Thun,-2421,Perte de,Verlust von
Courrendlin,1177,Economie de,Gewinn von
Arbedo-Castione,12,Economie de,Gewinn von
Gais,473,Economie de,Gewinn von
Saint-Imier,-1936,Perte de,Verlust von
Seedorf (BE),1785,Economie de,Gewinn von
Wil (SG),9549,Economie de,Gewinn von
Bassins,44,Economie de,Gewinn von
Oberried am Brienzersee,12397,Economie de,Gewinn von
Saxeten,1394,Economie de,Gewinn von
Chavornay,23,Economie de,Gewinn von
Kloten,NA,NA,NA
San Vittore,-1693,Perte de,Verlust von
Grône,-592,Perte de,Verlust von
Freienbach,NA,NA,NA
Horw,1338,Economie de,Gewinn von
Ardon,679,Economie de,Gewinn von
Le Noirmont,38,Economie de,Gewinn von
Emmen,1692,Economie de,Gewinn von
Sins,3162,Economie de,Gewinn von
Siviriez,-429,Perte de,Verlust von
Hemberg,-3299,Perte de,Verlust von
Cerentino,2186,Economie de,Gewinn von
Monthey,1412,Economie de,Gewinn von
Fontenais,11449,Economie de,Gewinn von
Aadorf,-86,Perte de,Verlust von
Thayngen,-2429,Perte de,Verlust von
Mont-la-Ville,273,Economie de,Gewinn von
Niederbipp,224,Economie de,Gewinn von
Courroux,11632,Economie de,Gewinn von
Grosswangen,178,Economie de,Gewinn von
Moutier,-2979,Perte de,Verlust von
Pfäffikon,-4875,Perte de,Verlust von
Giornico,218,Economie de,Gewinn von
Avenches,16,Economie de,Gewinn von
Selzach,1277,Economie de,Gewinn von
Krauchthal,-5314,Perte de,Verlust von
Valbirse,128,Economie de,Gewinn von
Beringen,-2547,Perte de,Verlust von
Hünenberg,3213,Economie de,Gewinn von
Termen,-439,Perte de,Verlust von
Kaltbrunn,NA,NA,NA
Leysin,1843,Economie de,Gewinn von
Le Mouret,-4161,Perte de,Verlust von
Egnach,NA,NA,NA
Forel (Lavaux),559,Economie de,Gewinn von
Courgenay,11525,Economie de,Gewinn von
Genève,393,Economie de,Gewinn von
Gossau (ZH),-5545,Perte de,Verlust von
Montfaucon,11626,Economie de,Gewinn von
Cugnasco-Gerra,4472,Economie de,Gewinn von
Seedorf (UR),4549,Economie de,Gewinn von
Conters im Prättigau,3593,Economie de,Gewinn von
Kaisten,NA,NA,NA
Kallnach,1218,Economie de,Gewinn von
Schlatt-Haslen,-4791,Perte de,Verlust von
Neunkirch,-2521,Perte de,Verlust von
Pleigne,11476,Economie de,Gewinn von
Oberbüren,173,Economie de,Gewinn von
Ennetbürgen,17955,Economie de,Gewinn von
Horrenbach-Buchen,6872,Economie de,Gewinn von
Pfaffnau,192,Economie de,Gewinn von
Sembrancher,29,Economie de,Gewinn von
Corgémont,1169,Economie de,Gewinn von
Hüttwilen,NA,NA,NA
Jorat-Menthue,244,Economie de,Gewinn von
Niedergesteln,777,Economie de,Gewinn von
Schwellbrunn,2297,Economie de,Gewinn von
Sattel,-2138,Perte de,Verlust von
