namen,gerundet,cat_f,cat_d
Merishausen,-24,Perte de,Verlust von
Montagny (FR),-4664,Perte de,Verlust von
Törbel,48,Economie de,Gewinn von
Feusisberg,NA,NA,NA
Römerswil,172,Economie de,Gewinn von
La Chaux-du-Milieu,-1519,Perte de,Verlust von
Huttwil,NA,NA,NA
Gränichen,-2244,Perte de,Verlust von
Walkringen,11291,Economie de,Gewinn von
Rüderswil,1136,Economie de,Gewinn von
Wigoltingen,6697,Economie de,Gewinn von
Buttisholz,1664,Economie de,Gewinn von
Gündlischwand,-1564,Perte de,Verlust von
Ingenbohl,2634,Economie de,Gewinn von
Saint-Légier-La Chiésaz,NA,NA,NA
Versoix,3845,Economie de,Gewinn von
Lyss,-15,Perte de,Verlust von
Steffisburg,2264,Economie de,Gewinn von
Surpierre,-4557,Perte de,Verlust von
Tavannes,2,Economie de,Gewinn von
Maur,NA,NA,NA
Stansstad,17796,Economie de,Gewinn von
Hergiswil (NW),17934,Economie de,Gewinn von
L'Isle,311,Economie de,Gewinn von
Oberdorf (NW),1819,Economie de,Gewinn von
Ueberstorf,-4419,Perte de,Verlust von
Brot-Plamboz,-188,Perte de,Verlust von
Bülach,NA,NA,NA
Blonay,NA,NA,NA
Prez,-452,Perte de,Verlust von
Utzenstorf,1775,Economie de,Gewinn von
Appenzell,-4222,Perte de,Verlust von
Rheinfelden,-3318,Perte de,Verlust von
Savigny,5,Economie de,Gewinn von
Trachselwald,1112,Economie de,Gewinn von
Gurmels,-4718,Perte de,Verlust von
Bullet,-42,Perte de,Verlust von
Prato (Leventina),2226,Economie de,Gewinn von
Wetzikon (ZH),276,Economie de,Gewinn von
Seeberg,237,Economie de,Gewinn von
Boudry,426,Economie de,Gewinn von
Spiez,13349,Economie de,Gewinn von
Muttenz,532,Economie de,Gewinn von
Delley-Portalban,-58,Perte de,Verlust von
La Rippe,-114,Perte de,Verlust von
Bolligen,1135,Economie de,Gewinn von
Buchs (SG),-1653,Perte de,Verlust von
Walchwil,1945,Economie de,Gewinn von
Niederbüren,-2956,Perte de,Verlust von
Werthenstein,175,Economie de,Gewinn von
Münsingen,-2436,Perte de,Verlust von
Benken (SG),1965,Economie de,Gewinn von
Oberdiessbach,1219,Economie de,Gewinn von
Wängi,13,Economie de,Gewinn von
Aigle,2661,Economie de,Gewinn von
Niederhelfenschwil,NA,NA,NA
Schattdorf,4945,Economie de,Gewinn von
Kleinlützel,3867,Economie de,Gewinn von
Flüelen,4656,Economie de,Gewinn von
St. Ursen,-4291,Perte de,Verlust von
Balsthal,5486,Economie de,Gewinn von
Saint-Brais,11597,Economie de,Gewinn von
Seewen,392,Economie de,Gewinn von
Herbetswil,NA,NA,NA
Villeret,-1776,Perte de,Verlust von
Le Cerneux-Péquignot,-1549,Perte de,Verlust von
Rothenburg,1176,Economie de,Gewinn von
Weinfelden,1133,Economie de,Gewinn von
Dallenwil,1837,Economie de,Gewinn von
Villorsonnens,-432,Perte de,Verlust von
Ersigen,1858,Economie de,Gewinn von
Villaz,-449,Perte de,Verlust von
Buchholterberg,684,Economie de,Gewinn von
Langenbruck,-133,Perte de,Verlust von
Trubschachen,11657,Economie de,Gewinn von
Moudon,511,Economie de,Gewinn von
Basadingen-Schlattingen,NA,NA,NA
Thundorf,-4154,Perte de,Verlust von
Burgdorf,815,Economie de,Gewinn von
Albinen,-43,Perte de,Verlust von
Schlatt (TG),NA,NA,NA
Cudrefin,-865,Perte de,Verlust von
Blumenstein,1987,Economie de,Gewinn von
Bözberg,-3247,Perte de,Verlust von
Laupersdorf,NA,NA,NA
Hallau,-2744,Perte de,Verlust von
Schötz,1195,Economie de,Gewinn von
Teufen (AR),222,Economie de,Gewinn von
Isérables,126,Economie de,Gewinn von
Gryon,25,Economie de,Gewinn von
Tuggen,-67,Perte de,Verlust von
Grossaffoltern,-11,Perte de,Verlust von
Bönigen,1342,Economie de,Gewinn von
Ausserberg,932,Economie de,Gewinn von
Cama,NA,NA,NA
Wattenwil,1255,Economie de,Gewinn von
Egg,NA,NA,NA
Uzwil,-225,Perte de,Verlust von
Laufenburg,NA,NA,NA
Port-Valais,59,Economie de,Gewinn von
Neftenbach,NA,NA,NA
Rüegsau,111,Economie de,Gewinn von
Sonceboz-Sombeval,1186,Economie de,Gewinn von
Wiler (Lötschen),NA,NA,NA
Amlikon-Bissegg,1115,Economie de,Gewinn von
Affeltrangen,169,Economie de,Gewinn von
Bolken,1134,Economie de,Gewinn von
Ennetmoos,1789,Economie de,Gewinn von
Ursy,-4293,Perte de,Verlust von
Saint-Maurice,NA,NA,NA
Nottwil,1813,Economie de,Gewinn von
Porrentruy,11481,Economie de,Gewinn von
Cortébert,-1736,Perte de,Verlust von
Radelfingen,1792,Economie de,Gewinn von
Bowil,11877,Economie de,Gewinn von
Regensdorf,NA,NA,NA
Kirchdorf (BE),1246,Economie de,Gewinn von
Dalpe,253,Economie de,Gewinn von
Bonaduz,-32,Perte de,Verlust von
Aubonne,317,Economie de,Gewinn von
Bösingen,-4574,Perte de,Verlust von
Wolhusen,1422,Economie de,Gewinn von
Vérossaz,323,Economie de,Gewinn von
Scharans,-2,Perte de,Verlust von
Tévenon,-61,Perte de,Verlust von
Staldenried,NA,NA,NA
Fläsch,35,Economie de,Gewinn von
Volketswil,NA,NA,NA
Grächen,NA,NA,NA
Stocken-Höfen,134,Economie de,Gewinn von
Russikon,NA,NA,NA
Lavey-Morcles,2818,Economie de,Gewinn von
Altishofen,178,Economie de,Gewinn von
Steg-Hohtenn,-3218,Perte de,Verlust von
Uesslingen-Buch,2913,Economie de,Gewinn von
La Ferrière,-1916,Perte de,Verlust von
Dürrenroth,187,Economie de,Gewinn von
Marthalen,NA,NA,NA
Lütisburg,-1155,Perte de,Verlust von
Unterseen,-231,Perte de,Verlust von
Lens,-1114,Perte de,Verlust von
Degersheim,-1731,Perte de,Verlust von
Bellwald,-58,Perte de,Verlust von
Hägendorf,NA,NA,NA
Arnex-sur-Nyon,121,Economie de,Gewinn von
Eischoll,1586,Economie de,Gewinn von
Oberuzwil,-2232,Perte de,Verlust von
Meggen,15114,Economie de,Gewinn von
Zell (LU),14547,Economie de,Gewinn von
Saicourt,9919,Economie de,Gewinn von
Leuggern,NA,NA,NA
Herdern,-3328,Perte de,Verlust von
Linden,139,Economie de,Gewinn von
Aefligen,-5471,Perte de,Verlust von
Crassier,27,Economie de,Gewinn von
Bure,11395,Economie de,Gewinn von
Brittnau,-273,Perte de,Verlust von
Les Genevez (JU),11766,Economie de,Gewinn von
Dübendorf,NA,NA,NA
Hausen am Albis,-5316,Perte de,Verlust von
Bonfol,11381,Economie de,Gewinn von
Courtételle,11822,Economie de,Gewinn von
Visp,66,Economie de,Gewinn von
Wilderswil,-342,Perte de,Verlust von
Bourrignon,11477,Economie de,Gewinn von
Yverdon-les-Bains,4129,Economie de,Gewinn von
Merenschwand,-561,Perte de,Verlust von
Ramsen,-2358,Perte de,Verlust von
Schmitten (FR),-4455,Perte de,Verlust von
Pfyn,886,Economie de,Gewinn von
Berg (TG),-45,Perte de,Verlust von
Ossingen,NA,NA,NA
Bovernier,-86,Perte de,Verlust von
Soubey,1157,Economie de,Gewinn von
Cormoret,-1792,Perte de,Verlust von
Bürchen,985,Economie de,Gewinn von
Sauge,1226,Economie de,Gewinn von
La Verrerie,-497,Perte de,Verlust von
Yvonand,157,Economie de,Gewinn von
Mettmenstetten,-5486,Perte de,Verlust von
Zell (ZH),NA,NA,NA
Hittnau,NA,NA,NA
Bernex,3795,Economie de,Gewinn von
Aedermannsdorf,NA,NA,NA
Stadel,NA,NA,NA
Apples,NA,NA,NA
Oftringen,-2134,Perte de,Verlust von
Isone,-1844,Perte de,Verlust von
Felsberg,-41,Perte de,Verlust von
Embd,213,Economie de,Gewinn von
La Côte-aux-Fées,-1395,Perte de,Verlust von
Varen,-437,Perte de,Verlust von
Rhäzüns,223,Economie de,Gewinn von
Wald (BE),11848,Economie de,Gewinn von
Echichens,177,Economie de,Gewinn von
Wünnewil-Flamatt,-454,Perte de,Verlust von
Galgenen,NA,NA,NA
Weisslingen,NA,NA,NA
Konolfingen,122,Economie de,Gewinn von
Embrach,NA,NA,NA
Lengnau (AG),-3322,Perte de,Verlust von
Oberhelfenschwil,-2162,Perte de,Verlust von
Gaiserwald,-2411,Perte de,Verlust von
Lostorf,5319,Economie de,Gewinn von
Locarno,3285,Economie de,Gewinn von
Eschenbach (LU),11476,Economie de,Gewinn von
Vaulion,-815,Perte de,Verlust von
Vex,-626,Perte de,Verlust von
Renan (BE),-1798,Perte de,Verlust von
Büren an der Aare,NA,NA,NA
Beggingen,-2377,Perte de,Verlust von
Ettiswil,145,Economie de,Gewinn von
Wäldi,1856,Economie de,Gewinn von
Ufhusen,NA,NA,NA
Zihlschlacht-Sitterdorf,-2729,Perte de,Verlust von
Collonges,3823,Economie de,Gewinn von
Dorénaz,56,Economie de,Gewinn von
Gingins,-18,Perte de,Verlust von
Densbüren,-2933,Perte de,Verlust von
Erlen,NA,NA,NA
Hombrechtikon,NA,NA,NA
Lignières,-1456,Perte de,Verlust von
Hauptwil-Gottshaus,-196,Perte de,Verlust von
Wohlen (AG),-4485,Perte de,Verlust von
Ascona,NA,NA,NA
Develier,-135,Perte de,Verlust von
Baden,-334,Perte de,Verlust von
Liesberg,554,Economie de,Gewinn von
Schongau,9894,Economie de,Gewinn von
Rümlang,6993,Economie de,Gewinn von
Oberbalm,11812,Economie de,Gewinn von
Lajoux (JU),11698,Economie de,Gewinn von
Sirnach,479,Economie de,Gewinn von
Küsnacht (ZH),NA,NA,NA
Villmergen,NA,NA,NA
Oberdorf (SO),198,Economie de,Gewinn von
Endingen,-3281,Perte de,Verlust von
Boécourt,1162,Economie de,Gewinn von
Muri (AG),NA,NA,NA
Aarau,-1969,Perte de,Verlust von
Lucens,481,Economie de,Gewinn von
Glattfelden,NA,NA,NA
Küttigen,-4447,Perte de,Verlust von
Messen,-459,Perte de,Verlust von
Montilliez,216,Economie de,Gewinn von
Saint-George,28,Economie de,Gewinn von
Birwinken,-1977,Perte de,Verlust von
Bois-d'Amont,-4281,Perte de,Verlust von
Kerzers,-4891,Perte de,Verlust von
Lütschental,-1652,Perte de,Verlust von
Biberist,247,Economie de,Gewinn von
Schinznach,-3121,Perte de,Verlust von
Yvorne,3415,Economie de,Gewinn von
Bettlach,1474,Economie de,Gewinn von
Mergoscia,2147,Economie de,Gewinn von
Corcelles-près-Payerne,-667,Perte de,Verlust von
Wuppenau,-1989,Perte de,Verlust von
Ochlenberg,1868,Economie de,Gewinn von
Oensingen,158,Economie de,Gewinn von
Castel San Pietro,2697,Economie de,Gewinn von
Wagenhausen,1219,Economie de,Gewinn von
Boswil,NA,NA,NA
Vitznau,-3,Perte de,Verlust von
Wittenbach,-113,Perte de,Verlust von
Orbe,2459,Economie de,Gewinn von
Bischofszell,-2956,Perte de,Verlust von
Kreuzlingen,1535,Economie de,Gewinn von
Tägerwilen,1738,Economie de,Gewinn von
Buchberg,-2725,Perte de,Verlust von
Buochs,17765,Economie de,Gewinn von
Roggwil (TG),-38,Perte de,Verlust von
Stallikon,NA,NA,NA
Lindau,NA,NA,NA
Eschenz,-1633,Perte de,Verlust von
Marchissy,148,Economie de,Gewinn von
Pont-en-Ogoz,-4166,Perte de,Verlust von
Hauterive (FR),-4378,Perte de,Verlust von
Bichelsee-Balterswil,NA,NA,NA
Kirchlindach,1113,Economie de,Gewinn von
Meilen,-765,Perte de,Verlust von
Hauteville,-442,Perte de,Verlust von
Rothrist,-3325,Perte de,Verlust von
Rickenbach (LU),1189,Economie de,Gewinn von
Steinen,-246,Perte de,Verlust von
Les Planchettes,-187,Perte de,Verlust von
Bürglen (TG),-2262,Perte de,Verlust von
Wyssachen,1888,Economie de,Gewinn von
Kippel,-229,Perte de,Verlust von
Le Bémont (JU),51,Economie de,Gewinn von
Sempach,1846,Economie de,Gewinn von
Oberburg,NA,NA,NA
Flawil,13332,Economie de,Gewinn von
Birmensdorf (ZH),NA,NA,NA
Coeuve,11334,Economie de,Gewinn von
Bubikon,NA,NA,NA
Hüttlingen,-1262,Perte de,Verlust von
Treyvaux,-4178,Perte de,Verlust von
Buckten,-86,Perte de,Verlust von
Wichtrach,12289,Economie de,Gewinn von
Neunforn,NA,NA,NA
Misery-Courtion,-4628,Perte de,Verlust von
Terre di Pedemonte,1657,Economie de,Gewinn von
Reichenburg,-4242,Perte de,Verlust von
Affoltern im Emmental,192,Economie de,Gewinn von
Olten,-2887,Perte de,Verlust von
Malans,3283,Economie de,Gewinn von
Laufen,8437,Economie de,Gewinn von
Concise,23,Economie de,Gewinn von
Jussy,43,Economie de,Gewinn von
Schmitten (GR),NA,NA,NA
Eriswil,-1854,Perte de,Verlust von
Jegenstorf,-5487,Perte de,Verlust von
Lenzburg,NA,NA,NA
Beinwil (Freiamt),NA,NA,NA
Niederhasli,NA,NA,NA
Reutigen,13184,Economie de,Gewinn von
Matzendorf,NA,NA,NA
Wittnau,NA,NA,NA
Zeiningen,NA,NA,NA
Salgesch,-96,Perte de,Verlust von
Bremgarten (AG),-3277,Perte de,Verlust von
Diepoldsau,NA,NA,NA
Villigen,-666,Perte de,Verlust von
Riemenstalden,3545,Economie de,Gewinn von
Rue,-4233,Perte de,Verlust von
Bärschwil,42,Economie de,Gewinn von
Twann-Tüscherz,1484,Economie de,Gewinn von
Eptingen,-754,Perte de,Verlust von
Buseno,NA,NA,NA
Pampigny,NA,NA,NA
Jorat-Mézières,487,Economie de,Gewinn von
Landquart,6164,Economie de,Gewinn von
Stans,17747,Economie de,Gewinn von
Zofingen,-4463,Perte de,Verlust von
Hochdorf,-1657,Perte de,Verlust von
Kleinandelfingen,NA,NA,NA
Les Montets,-473,Perte de,Verlust von
Fiesch,-4753,Perte de,Verlust von
Grandcour,-487,Perte de,Verlust von
Bätterkinden,262,Economie de,Gewinn von
Torny,-4516,Perte de,Verlust von
Uetendorf,14788,Economie de,Gewinn von
Flaach,NA,NA,NA
Gipf-Oberfrick,NA,NA,NA
Magden,-244,Perte de,Verlust von
Vordemwald,-3277,Perte de,Verlust von
Vaulruz,-464,Perte de,Verlust von
Zizers,3481,Economie de,Gewinn von
Saint-Martin (FR),-412,Perte de,Verlust von
Wangen (SZ),NA,NA,NA
Jonschwil,-4,Perte de,Verlust von
Mollens (VD),334,Economie de,Gewinn von
Bourg-en-Lavaux,728,Economie de,Gewinn von
Kappelen,1618,Economie de,Gewinn von
Muriaux,-14,Perte de,Verlust von
Illgau,-178,Perte de,Verlust von
Oberkirch,11165,Economie de,Gewinn von
Kradolf-Schönenberg,-475,Perte de,Verlust von
Seon,NA,NA,NA
Rothenfluh,-924,Perte de,Verlust von
Schönholzerswilen,5567,Economie de,Gewinn von
Romont (FR),-4372,Perte de,Verlust von
Riehen,6643,Economie de,Gewinn von
Langrickenbach,2476,Economie de,Gewinn von
Les Breuleux,NA,NA,NA
Bubendorf,-947,Perte de,Verlust von
Dietikon,-3968,Perte de,Verlust von
Rüthi (SG),NA,NA,NA
Corbières,-4953,Perte de,Verlust von
Pratteln,219,Economie de,Gewinn von
Goumoëns,219,Economie de,Gewinn von
Collonge-Bellerive,4135,Economie de,Gewinn von
Rafz,NA,NA,NA
Lignerolle,-571,Perte de,Verlust von
Suhr,3938,Economie de,Gewinn von
Losone,2379,Economie de,Gewinn von
Alle,11415,Economie de,Gewinn von
Wettingen,NA,NA,NA
Affoltern am Albis,NA,NA,NA
Chéserex,-189,Perte de,Verlust von
Wildberg,NA,NA,NA
Oberthal,1165,Economie de,Gewinn von
Jenins,625,Economie de,Gewinn von
Gampelen,1874,Economie de,Gewinn von
Stalden (VS),NA,NA,NA
Ermatingen,698,Economie de,Gewinn von
Vuadens,-417,Perte de,Verlust von
Cornol,1159,Economie de,Gewinn von
Vétroz,-1125,Perte de,Verlust von
Arni (BE),NA,NA,NA
Guttet-Feschel,-428,Perte de,Verlust von
Noville,1556,Economie de,Gewinn von
Leissigen,1364,Economie de,Gewinn von
Seengen,-398,Perte de,Verlust von
Chardonne,233,Economie de,Gewinn von
Muolen,-2439,Perte de,Verlust von
Inwil,119,Economie de,Gewinn von
Nunningen,3981,Economie de,Gewinn von
Le Landeron,395,Economie de,Gewinn von
La Brillaz,-4448,Perte de,Verlust von
Leuzigen,4787,Economie de,Gewinn von
Melchnau,-17,Perte de,Verlust von
Landiswil,11422,Economie de,Gewinn von
Oberembrach,NA,NA,NA
Meikirch,1133,Economie de,Gewinn von
Dürnten,-496,Perte de,Verlust von
Buch am Irchel,NA,NA,NA
Mezzovico-Vira,113,Economie de,Gewinn von
Altdorf (UR),4764,Economie de,Gewinn von
Lumino,779,Economie de,Gewinn von
Diessenhofen,266,Economie de,Gewinn von
Röschenz,11358,Economie de,Gewinn von
Rüti (ZH),-3443,Perte de,Verlust von
Nürensdorf,-5948,Perte de,Verlust von
Broc,-3839,Perte de,Verlust von
Trogen,497,Economie de,Gewinn von
Brienzwiler,-2517,Perte de,Verlust von
Arisdorf,-12,Perte de,Verlust von
Märstetten,NA,NA,NA
Frick,-3242,Perte de,Verlust von
Thusis,NA,NA,NA
Meyrin,5669,Economie de,Gewinn von
La Praz,39,Economie de,Gewinn von
Galmiz,NA,NA,NA
Thalheim (AG),27,Economie de,Gewinn von
Aarwangen,NA,NA,NA
Cugy (FR),-4689,Perte de,Verlust von
Pohlern,1319,Economie de,Gewinn von
Erlinsbach (AG),-451,Perte de,Verlust von
Mörschwil,-2415,Perte de,Verlust von
Rances,-49,Perte de,Verlust von
Herzogenbuchsee,7784,Economie de,Gewinn von
Le Mont-sur-Lausanne,566,Economie de,Gewinn von
Gelterkinden,-96,Perte de,Verlust von
Essertines-sur-Yverdon,8,Economie de,Gewinn von
Knutwil,165,Economie de,Gewinn von
Attalens,-3137,Perte de,Verlust von
Gontenschwil,-5695,Perte de,Verlust von
Mervelier,1177,Economie de,Gewinn von
Gachnang,1797,Economie de,Gewinn von
Inden,-4521,Perte de,Verlust von
Hindelbank,-5394,Perte de,Verlust von
Thal,-4814,Perte de,Verlust von
Ebikon,11124,Economie de,Gewinn von
Thunstetten,158,Economie de,Gewinn von
Diegten,-936,Perte de,Verlust von
Berolle,348,Economie de,Gewinn von
Reigoldswil,-965,Perte de,Verlust von
Meierskappel,156,Economie de,Gewinn von
Enges,-143,Perte de,Verlust von
Weiach,NA,NA,NA
Le Flon,-4164,Perte de,Verlust von
Trüllikon,NA,NA,NA
Güttingen,-4294,Perte de,Verlust von
Yens,215,Economie de,Gewinn von
Wölflinswil,NA,NA,NA
Crémines,196,Economie de,Gewinn von
Reinach (AG),-5667,Perte de,Verlust von
Fehraltorf,NA,NA,NA
Sargans,-216,Perte de,Verlust von
Longirod,176,Economie de,Gewinn von
Rain,1887,Economie de,Gewinn von
Siblingen,-2477,Perte de,Verlust von
Brislach,5478,Economie de,Gewinn von
Oberkulm,-2787,Perte de,Verlust von
Gondiswil,18,Economie de,Gewinn von
Steinmaur,NA,NA,NA
Eich,11488,Economie de,Gewinn von
Wila,NA,NA,NA
Lauerz,-1973,Perte de,Verlust von
Oberbuchsiten,NA,NA,NA
Zuzwil (SG),-3754,Perte de,Verlust von
Schlatt (ZH),NA,NA,NA
Rheinau,NA,NA,NA
Wil (ZH),NA,NA,NA
Staffelbach,-2732,Perte de,Verlust von
Mézières (FR),-44,Perte de,Verlust von
Saint-Blaise,49,Economie de,Gewinn von
Eggersriet,NA,NA,NA
Würenlingen,-5193,Perte de,Verlust von
Stein (AR),361,Economie de,Gewinn von
Juriens,35,Economie de,Gewinn von
Bavois,32,Economie de,Gewinn von
Oberegg,1329,Economie de,Gewinn von
Santa Maria in Calanca,-629,Perte de,Verlust von
Kölliken,NA,NA,NA
Romanshorn,NA,NA,NA
Unterkulm,-2846,Perte de,Verlust von
Ringgenberg (BE),12795,Economie de,Gewinn von
Belfaux,-4546,Perte de,Verlust von
Erlinsbach (SO),-552,Perte de,Verlust von
Milvignes,-74,Perte de,Verlust von
Buus,-123,Perte de,Verlust von
Minusio,254,Economie de,Gewinn von
Münchenbuchsee,-768,Perte de,Verlust von
Frauenkappelen,1694,Economie de,Gewinn von
Fribourg,-348,Perte de,Verlust von
Sils im Domleschg,NA,NA,NA
Lac de Joux,NA,NA,NA
Steckborn,24,Economie de,Gewinn von
Grüningen,-411,Perte de,Verlust von
Ronco sopra Ascona,1458,Economie de,Gewinn von
Ursenbach,-1892,Perte de,Verlust von
Braunau,-2473,Perte de,Verlust von
Oberlangenegg,12418,Economie de,Gewinn von
Vendlincourt,11356,Economie de,Gewinn von
Bachs,NA,NA,NA
Heitenried,-4345,Perte de,Verlust von
Sulgen,5423,Economie de,Gewinn von
Spreitenbach,NA,NA,NA
Stäfa,NA,NA,NA
Saillon,57,Economie de,Gewinn von
Kienberg,-4139,Perte de,Verlust von
Lutry,18,Economie de,Gewinn von
Arogno,135,Economie de,Gewinn von
Roches (BE),2,Economie de,Gewinn von
Eglisau,NA,NA,NA
Wikon,956,Economie de,Gewinn von
Ballaigues,-1137,Perte de,Verlust von
Kirchberg (BE),NA,NA,NA
Champvent,-159,Perte de,Verlust von
Bassersdorf,NA,NA,NA
Boncourt,196,Economie de,Gewinn von
Würenlos,NA,NA,NA
Donneloye,281,Economie de,Gewinn von
Herrliberg,914,Economie de,Gewinn von
Hagenbuch,NA,NA,NA
Saint-Livres,3137,Economie de,Gewinn von
Winkel,NA,NA,NA
Grandfontaine,11424,Economie de,Gewinn von
Vuarrens,379,Economie de,Gewinn von
Sissach,-92,Perte de,Verlust von
Allschwil,5358,Economie de,Gewinn von
Häggenschwil,-2353,Perte de,Verlust von
Lengwil,265,Economie de,Gewinn von
Hofstetten bei Brienz,12631,Economie de,Gewinn von
Gansingen,-322,Perte de,Verlust von
Anières,4118,Economie de,Gewinn von
Reitnau,-2748,Perte de,Verlust von
Hohentannen,264,Economie de,Gewinn von
Neuhausen am Rheinfall,-25,Perte de,Verlust von
Ballwil,11293,Economie de,Gewinn von
Rüttenen,137,Economie de,Gewinn von
Müllheim,5279,Economie de,Gewinn von
Sorens,-4166,Perte de,Verlust von
Langnau am Albis,NA,NA,NA
Root,11281,Economie de,Gewinn von
Schmiedrued,-2712,Perte de,Verlust von
Aristau,NA,NA,NA
Lommis,-4253,Perte de,Verlust von
Dardagny,3614,Economie de,Gewinn von
Kestenholz,NA,NA,NA
Cressier (NE),-1446,Perte de,Verlust von
Ziefen,-89,Perte de,Verlust von
Ferenbalm,11138,Economie de,Gewinn von
Münchwilen (TG),-39,Perte de,Verlust von
